"","kaba1278","krio1252","mesc1238","alge1239","nyun1247","gusi1247","basq1248","stan1293","urdu1245","chuv1255","nhen1239","rian1262","dani1285","abua1244","alba1267","finn1318","stan1290","stan1295","mode1248","kala1399","guja1252","hakk1236","yuec1235","pula1263","ainu1240","hung1274","anga1288","west2369","assy1241","manx1243","ital1282","nucl1643","hebr1245","assa1263","kaya1330","kara1465","komi1268","kore1280","thai1261","liby1240","acol1236","jola1263","rund1242","yuca1254","peno1244","cham1312","moro1292","cent2132","scot1245","sout3123","kili1267","cent2142","west2386","bela1254","samo1305","sout2807","hadz1240","sici1248","sind1272","amha1245","telu1262","pare1266","east1436","ticu1245","tuni1259","nucl1235","viet1252","yoru1245","ling1263","nava1243","stan1318","kiku1240","gand1255","khan1278","sere1260","tswa1253","nucl1347","erzy1239","mari1278","moks1248","tata1255","cent2150","yucu1253","bulg1262","czec1258","dutc1256","norw1258","poli1260","swis1247","mand1415","minn1241","haus1257","nort2945","cent2127","bhil1251","biet1238","chot1239","dubl1239","gami1242","hind1269","dhan1264","konk1267","maha1287","mara1378","carn1240","pott1240","vasa1239","kurd1259","meso1252","wels1247","krah1246","pano1254","xava1240","yano1261","nene1249","lule1254","komi1269","teso1249","chig1238","nyan1307","laca1243","stan1288","tzel1254","tzot1259","fiji1243","taga1270","maor1246","tong1325","wall1257","muyu1244","shua1257","latv1249","russ1263","ukra1253","vend1245","xhos1239","zulu1248","luok1236","awng1244","tigr1270","newa1246","nucl1301"
"kaba1278",0,0.657211818181818,0.467825630120076,0.235843333333333,0.23566,0.512990871281117,0.148085227247223,0.390413530561478,0.343383499046123,0.218404383931407,0.59432903030303,0.371877631230386,0.0139657347570657,0.456372685185185,0.207318061090822,0.305469436086097,0.15153807260689,0.4788235,0.4302524,0.305641111111111,0.446722544117647,0.302711403587118,0.345123033356636,0.302305494998412,0.426149386151947,0.424168151815182,0.403817101851852,0.492165108695652,0.4801475,0.213471931962528,0.226264589323427,0.311045414538708,0.206123731144808,0.497475589225589,0.422949280051759,0.263222896554462,0.22116070220705,0.362342859084209,0.475290207119483,0.314671291666667,0.5268856757285,0.528676359086918,0.350548442958082,0.36021966245923,0.612151333333333,0.331755078794856,0.405988708333333,0.551870925925926,0.149066594097183,0.350262120749635,0.389094137030047,0.489666281387182,0.410466620061457,0.298807541714596,0.529777245901639,0.474171320278308,0.474783115970947,0.250046991255523,0.332505740657614,0.4568385,0.416834805970149,0.491538950819672,0.3149,0.397175088718641,0.300492687830688,0.4320955,0.478704077612347,0.463064826651815,0.307188956624385,0.467825630120076,0.235843333333333,0.512990871281117,0.512990871281117,0.512990871281117,0.512990871281117,0.512990871281117,0.512990871281117,0.218404383931407,0.218404383931407,0.218404383931407,0.218404383931407,0.59432903030303,0.59432903030303,0.207318061090822,0.207318061090822,0.207318061090822,0.207318061090822,0.207318061090822,0.207318061090822,0.345123033356636,0.345123033356636,0.302305494998412,0.426149386151947,0.426149386151947,0.403817101851852,0.403817101851852,0.403817101851852,0.403817101851852,0.403817101851852,0.403817101851852,0.403817101851852,0.403817101851852,0.403817101851852,0.403817101851852,0.403817101851852,0.403817101851852,0.403817101851852,0.492165108695652,0.4801475,0.213471931962528,0.422949280051759,0.422949280051759,0.422949280051759,0.422949280051759,0.263222896554462,0.263222896554462,0.22116070220705,0.5268856757285,0.5268856757285,0.5268856757285,0.612151333333333,0.612151333333333,0.612151333333333,0.612151333333333,0.331755078794856,0.331755078794856,0.331755078794856,0.331755078794856,0.331755078794856,0.389094137030047,0.489666281387182,0.298807541714596,0.298807541714596,0.298807541714596,0.474171320278308,0.474171320278308,0.474171320278308,0.474783115970947,0.4568385,0.4568385,0.3149,0.4320955
"krio1252",0.657211818181818,0,-0.371223348484849,-0.772152870825433,-0.927247530746227,-0.380397348484849,-0.718803598319258,0.100361919191919,-0.90600049370919,0.0895391515151515,0.0701432828282828,0.12950601010101,0.107889515151515,-0.716377290005486,0.106196606060606,0.102764464646465,-1.07314829677188,-0.977724924591429,0.0936409230769231,-1.06134714185734,0.667021565656566,0.143510787878788,0.133094555555556,0.00245763636363636,-1.28671303361398,0.103828125,-1.19477742459143,0.701905538461538,-1.23612292459143,0.106325212121212,0.0992823232323232,0.133402808080808,0.0973284848484848,0.0866434567901235,0.202066484848485,0.103505636363636,0.102621212121212,0.142279634146341,0.132814601226994,-1.32391064860321,0.00321934343434343,0.571107272727273,0.00540309090909091,0.147848848484848,0.0863043434343434,0.117066060606061,-1.50247924666085,-1.30593992459143,-1.88284848381624,0.0657990769230769,0.142071310344828,0.680550858585859,0.0758508585858586,0.0899800675675676,0.11965037037037,-1.75696186820045,0.0163245398773006,0.098683950617284,-1.95835652892903,0.0447161538461538,0.668818838383838,0.110088827160494,-1.60210251565241,0.181883939393939,-1.97491493002167,0.700922153846154,0.68852595959596,0.00264165656565657,0.00846648148148148,-0.371223348484849,-0.772152870825433,-0.380397348484849,-0.380397348484849,-0.380397348484849,-0.380397348484849,-0.380397348484849,-0.380397348484849,0.0895391515151515,0.0895391515151515,0.0895391515151515,0.0895391515151515,0.0701432828282828,0.0701432828282828,0.106196606060606,0.106196606060606,0.106196606060606,0.106196606060606,0.106196606060606,0.106196606060606,0.133094555555556,0.133094555555556,0.00245763636363636,-1.28671303361398,-1.28671303361398,-1.19477742459143,-1.19477742459143,-1.19477742459143,-1.19477742459143,-1.19477742459143,-1.19477742459143,-1.19477742459143,-1.19477742459143,-1.19477742459143,-1.19477742459143,-1.19477742459143,-1.19477742459143,-1.19477742459143,0.701905538461538,-1.23612292459143,0.106325212121212,0.202066484848485,0.202066484848485,0.202066484848485,0.202066484848485,0.103505636363636,0.103505636363636,0.102621212121212,0.00321934343434343,0.00321934343434343,0.00321934343434343,0.0863043434343434,0.0863043434343434,0.0863043434343434,0.0863043434343434,0.117066060606061,0.117066060606061,0.117066060606061,0.117066060606061,0.117066060606061,0.142071310344828,0.680550858585859,0.0899800675675676,0.0899800675675676,0.0899800675675676,-1.75696186820045,-1.75696186820045,-1.75696186820045,0.0163245398773006,0.0447161538461538,0.0447161538461538,-1.60210251565241,0.700922153846154
"mesc1238",0.467825630120076,-0.371223348484849,0,-0.843169257316757,-1.00544195117845,0.598826347077331,0.232842481203008,0.503334952380952,0.402142406015038,0.225085373134328,-0.451555318181818,0.223274329942503,0.291019701492537,-0.988422173400674,0.278409701492537,0.37803376474769,0.234226240601504,0.5355775,0.547207,-1.33747078956229,0.361797691176471,0.122909850746269,0.19744260890459,0.400300298507463,0.324917218045113,-1.49779264141414,0.341806,0.4521635,0.4383095,0.288163880597015,0.334040605861112,0.202843944343963,0.260014029850746,-1.81956246985242,0.116600280552127,0.136193582089552,0.220925820895522,0.199039333333333,0.377623582089552,0.393702083333333,0.562368761904762,0.642897294117647,0.386704776119403,0.0235998316687241,-1.67469862996168,0.147604776119403,0.422763,-1.96565215314916,0.221956616541353,0.463092932330827,0.248435016387122,0.297008117647059,0.424493176470588,0.323727990124565,-2.43503278463064,0.577506992481203,0.600875671641791,0.389089247156352,0.399376541353383,-2.42942731380422,0.423712117647059,-2.79239886935977,-2.66658543368954,0.0242170149253731,-2.87698291803702,0.4823845,0.248105784313725,0.51773588127034,0.415601194029851,0,-0.843169257316757,0.598826347077331,0.598826347077331,0.598826347077331,0.598826347077331,0.598826347077331,0.598826347077331,0.225085373134328,0.225085373134328,0.225085373134328,0.225085373134328,-0.451555318181818,-0.451555318181818,0.278409701492537,0.278409701492537,0.278409701492537,0.278409701492537,0.278409701492537,0.278409701492537,0.19744260890459,0.19744260890459,0.400300298507463,0.324917218045113,0.324917218045113,0.341806,0.341806,0.341806,0.341806,0.341806,0.341806,0.341806,0.341806,0.341806,0.341806,0.341806,0.341806,0.341806,0.4521635,0.4383095,0.288163880597015,0.116600280552127,0.116600280552127,0.116600280552127,0.116600280552127,0.136193582089552,0.136193582089552,0.220925820895522,0.562368761904762,0.562368761904762,0.562368761904762,-1.67469862996168,-1.67469862996168,-1.67469862996168,-1.67469862996168,0.147604776119403,0.147604776119403,0.147604776119403,0.147604776119403,0.147604776119403,0.248435016387122,0.297008117647059,0.323727990124565,0.323727990124565,0.323727990124565,0.577506992481203,0.577506992481203,0.577506992481203,0.600875671641791,-2.42942731380422,-2.42942731380422,-2.66658543368954,0.4823845
"alge1239",0.235843333333333,-0.772152870825433,-0.843169257316757,0,0.255494444444444,-0.852343257316757,-1.19074950715117,0.243131851851852,-1.20775220451952,0.0066537037037037,-1.79821281662963,0.228302222222222,0.0274559259259259,-2.33507967184848,0.0174803703703704,0.133192592592593,-1.51355980790305,-1.44891090928697,0.00956444444444444,0.320065185185185,0.236845555555556,0.253398703703704,0.312334925925926,0.197301111111111,-1.75789901830953,0.0104581481481481,-2.09070050518182,0.22995962962963,-2.04249430790305,0.0273718518518519,0.221525925925926,0.244546296296296,0.00496518518518519,0.0208759259259259,0.197703333333333,0.048972962962963,0.0251140740740741,0.117421481481481,0.106944444444444,0.273214444444444,0.405545925925926,0.40973962962963,0.144010740740741,0.135611111111111,-3.72081895514131,0.0819996296296296,-2.16361855559023,-3.912014672836,-2.62679096602142,0.00304185185185185,0.0779344444444444,0.359555925925926,0.239194074074074,0.011272962962963,0.0746640740740741,-2.51102510135976,0.129931111111111,0.00927407407407407,-2.66875946226202,0.0514585185185185,0.240107407407407,0.0242292592592593,0.317064814814815,0.163345925925926,0.268926825396825,0.229882222222222,0.354998518518518,0.320202037037037,0.182756296296296,-0.843169257316757,0,-0.852343257316757,-0.852343257316757,-0.852343257316757,-0.852343257316757,-0.852343257316757,-0.852343257316757,0.0066537037037037,0.0066537037037037,0.0066537037037037,0.0066537037037037,-1.79821281662963,-1.79821281662963,0.0174803703703704,0.0174803703703704,0.0174803703703704,0.0174803703703704,0.0174803703703704,0.0174803703703704,0.312334925925926,0.312334925925926,0.197301111111111,-1.75789901830953,-1.75789901830953,-2.09070050518182,-2.09070050518182,-2.09070050518182,-2.09070050518182,-2.09070050518182,-2.09070050518182,-2.09070050518182,-2.09070050518182,-2.09070050518182,-2.09070050518182,-2.09070050518182,-2.09070050518182,-2.09070050518182,0.22995962962963,-2.04249430790305,0.0273718518518519,0.197703333333333,0.197703333333333,0.197703333333333,0.197703333333333,0.048972962962963,0.048972962962963,0.0251140740740741,0.405545925925926,0.405545925925926,0.405545925925926,-3.72081895514131,-3.72081895514131,-3.72081895514131,-3.72081895514131,0.0819996296296296,0.0819996296296296,0.0819996296296296,0.0819996296296296,0.0819996296296296,0.0779344444444444,0.359555925925926,0.011272962962963,0.011272962962963,0.011272962962963,-2.51102510135976,-2.51102510135976,-2.51102510135976,0.129931111111111,0.0514585185185185,0.0514585185185185,0.317064814814815,0.229882222222222
"nyun1247",0.23566,-0.927247530746227,-1.00544195117845,0.255494444444444,0,-1.01461595117845,-1.35302220101286,0.031092962962963,-1.36734002056173,0.0196781481481481,-1.80815076534852,0.210896111111111,0.0351503703703704,-2.34501762056738,0.0322122222222222,0.0282059259259259,-1.67583250176474,-1.58040912958429,0.0365488888888889,0.0563496296296296,0.032802962962963,0.239372962962963,0.248401851851852,0.253744444444444,-1.88939723860685,0.0274192592592593,-2.10063845390071,0.229453333333333,-2.14198395390071,0.0394211111111111,0.0379274074074074,0.133003888888889,0.0348155555555556,0.0445707407407407,0.174507407407407,0.0417618518518519,0.0316655555555556,0.124823888888889,0.09762,0.0405996296296296,0.24435037037037,0.252102592592593,0.196732592592593,0.117764814814815,-3.73075690386021,0.0551303703703704,-2.29511677588755,-3.92195262155489,-2.68057391474031,0.0376837037037037,0.0444725925925926,0.0847096296296296,0.0277248148148148,0.0253609259259259,0.0505888888888889,-2.56480805007866,0.18425037037037,0.0416951851851852,-2.9125835992741,0.103136666666667,0.0346481481481482,0.0471314814814815,0.301153333333333,0.150618148148148,0.0470488888888889,0.234622962962963,0.10829037037037,0.276292407407407,0.242117777777778,-1.00544195117845,0.255494444444444,-1.01461595117845,-1.01461595117845,-1.01461595117845,-1.01461595117845,-1.01461595117845,-1.01461595117845,0.0196781481481481,0.0196781481481481,0.0196781481481481,0.0196781481481481,-1.80815076534852,-1.80815076534852,0.0322122222222222,0.0322122222222222,0.0322122222222222,0.0322122222222222,0.0322122222222222,0.0322122222222222,0.248401851851852,0.248401851851852,0.253744444444444,-1.88939723860685,-1.88939723860685,-2.10063845390071,-2.10063845390071,-2.10063845390071,-2.10063845390071,-2.10063845390071,-2.10063845390071,-2.10063845390071,-2.10063845390071,-2.10063845390071,-2.10063845390071,-2.10063845390071,-2.10063845390071,-2.10063845390071,0.229453333333333,-2.14198395390071,0.0394211111111111,0.174507407407407,0.174507407407407,0.174507407407407,0.174507407407407,0.0417618518518519,0.0417618518518519,0.0316655555555556,0.24435037037037,0.24435037037037,0.24435037037037,-3.73075690386021,-3.73075690386021,-3.73075690386021,-3.73075690386021,0.0551303703703704,0.0551303703703704,0.0551303703703704,0.0551303703703704,0.0551303703703704,0.0444725925925926,0.0847096296296296,0.0253609259259259,0.0253609259259259,0.0253609259259259,-2.56480805007866,-2.56480805007866,-2.56480805007866,0.18425037037037,0.103136666666667,0.103136666666667,0.301153333333333,0.234622962962963
"gusi1247",0.512990871281117,-0.380397348484849,0.598826347077331,-0.852343257316757,-1.01461595117845,0,0.251246097242921,0.531309888888889,0.503532521388751,0.230308125,-2.9656408887612,0.41631677414169,0.233102375,-3.45285532232858,0.234653875,0.399453861111111,0.24253536574764,0.545869,0.524141,-1.57628453956229,0.425114828703704,0.3048565,0.421629833787219,0.005390375,0.517658973201965,-3.19484967418043,0.368908,0.46602625,0.43500275,0.241557375,0.371687103703704,0.384762438824378,0.22403375,-3.70606957822083,0.544031997554093,0.255021375,0.236289125,0.4359915,0.515650625,0.453260416666667,0.239173907407407,0.231379,0.006617375,0.356986657662693,-4.88824702727289,0.25833625,0.448680166666667,-5.02979032331609,0.258547549884087,0.292491227300326,0.28421332722719,0.616574527777778,0.518814027777778,0.238694003498096,-5.42036724612811,0.0212998451730419,0.013468,0.342054635250148,0.485626360531545,-5.47526250823637,0.523124712962963,-5.79336621194007,-5.651919895187,0.422281875,-5.87795026061732,0.4838465,0.354127932098765,0.155752410562823,0.00204875,0.598826347077331,-0.852343257316757,0,0,0,0,0,0,0.230308125,0.230308125,0.230308125,0.230308125,-2.9656408887612,-2.9656408887612,0.234653875,0.234653875,0.234653875,0.234653875,0.234653875,0.234653875,0.421629833787219,0.421629833787219,0.005390375,0.517658973201965,0.517658973201965,0.368908,0.368908,0.368908,0.368908,0.368908,0.368908,0.368908,0.368908,0.368908,0.368908,0.368908,0.368908,0.368908,0.46602625,0.43500275,0.241557375,0.544031997554093,0.544031997554093,0.544031997554093,0.544031997554093,0.255021375,0.255021375,0.236289125,0.239173907407407,0.239173907407407,0.239173907407407,-4.88824702727289,-4.88824702727289,-4.88824702727289,-4.88824702727289,0.25833625,0.25833625,0.25833625,0.25833625,0.25833625,0.28421332722719,0.616574527777778,0.238694003498096,0.238694003498096,0.238694003498096,0.0212998451730419,0.0212998451730419,0.0212998451730419,0.013468,-5.47526250823637,-5.47526250823637,-5.651919895187,0.4838465
"basq1248",0.148085227247223,-0.718803598319258,0.232842481203008,-1.19074950715117,-1.35302220101286,0.251246097242921,0,0.310252,0.371965864661654,0.0150777611940298,-3.30404713859561,0.318839351172048,0.00715925373134328,-3.79126157216299,0.00622522388059701,0.166276293532338,0.00270052631578947,0.4613535,0.471205,-1.82553388810234,0.456266573529412,0.21760776119403,0.375009394005695,0.229007164179104,0.461185864661654,-3.53325592401484,0.5495475,0.5171865,0.508388,0.00757029850746269,0.307980036798139,0.329562515324228,0.0118362686567164,-4.04447582805524,0.406042552463248,0.0750755223880597,0.0167017910447761,0.3812505,0.463709253731343,0.344529583333333,0.502938380952381,0.485213764705882,0.190595074626866,0.346866946470654,-5.2266532771073,0.191600597014925,0.421470208333333,-5.3681965731505,0.300955338345865,0.332501804511278,0.291115274725275,0.441718588235294,0.346826588235294,0.202585057793738,-5.75877349596252,0.515494060150376,0.436041641791045,0.29582539907461,0.363650751879699,-5.81366875807078,0.355562823529412,-6.13177246177448,-5.99032614502141,0.271281791044776,-6.21635651045173,0.4957585,0.556387323529412,0.426378143218743,0.235364776119403,0.232842481203008,-1.19074950715117,0.251246097242921,0.251246097242921,0.251246097242921,0.251246097242921,0.251246097242921,0.251246097242921,0.0150777611940298,0.0150777611940298,0.0150777611940298,0.0150777611940298,-3.30404713859561,-3.30404713859561,0.00622522388059701,0.00622522388059701,0.00622522388059701,0.00622522388059701,0.00622522388059701,0.00622522388059701,0.375009394005695,0.375009394005695,0.229007164179104,0.461185864661654,0.461185864661654,0.5495475,0.5495475,0.5495475,0.5495475,0.5495475,0.5495475,0.5495475,0.5495475,0.5495475,0.5495475,0.5495475,0.5495475,0.5495475,0.5171865,0.508388,0.00757029850746269,0.406042552463248,0.406042552463248,0.406042552463248,0.406042552463248,0.0750755223880597,0.0750755223880597,0.0167017910447761,0.502938380952381,0.502938380952381,0.502938380952381,-5.2266532771073,-5.2266532771073,-5.2266532771073,-5.2266532771073,0.191600597014925,0.191600597014925,0.191600597014925,0.191600597014925,0.191600597014925,0.291115274725275,0.441718588235294,0.202585057793738,0.202585057793738,0.202585057793738,0.515494060150376,0.515494060150376,0.515494060150376,0.436041641791045,-5.81366875807078,-5.81366875807078,-5.99032614502141,0.4957585
"stan1293",0.390413530561478,0.100361919191919,0.503334952380952,0.243131851851852,0.031092962962963,0.531309888888889,0.310252,0,0.05234,0.00964880597014925,0.598434191919192,0.317888469672571,0.000984738805970149,-4.02157754573298,0.00106544776119403,0.00449864918826918,0.00270828571428571,0.4648265,0.241454608695652,0.096222962962963,0.329164687888199,0.297610684770591,0.341361137085043,0.174577873134328,0.208043238095238,0.00221882051282051,0.5282105,0.274799402173913,0.041309,0.00135369402985075,0.113138483430799,0.26680660987824,0.00864365671641791,0.0720026984126984,0.254849850035537,0.0610190298507463,0.0144166791044776,0.193917421493446,0.169266466165414,0.277460740740741,0.179766140350877,0.612314627329193,0.146861380597015,0.18279362793177,0.620028737373737,0.153479850746269,0.489791,-6.34832629861481,0.00346457142857143,0.0247102691511387,0.21940691108102,0.560287732919255,0.508509968944099,0.00417595029406185,0.130865888324873,0.289522095238095,0.143117669172932,0.0160198371670702,0.0596299047619048,0.0708467391304348,0.517341118012422,0.0833862436548223,0.34782962962963,0.194437985074627,0.26925291005291,0.490065380434783,0.474827651138716,0.22048274933187,0.17250120754717,0.503334952380952,0.243131851851852,0.531309888888889,0.531309888888889,0.531309888888889,0.531309888888889,0.531309888888889,0.531309888888889,0.00964880597014925,0.00964880597014925,0.00964880597014925,0.00964880597014925,0.598434191919192,0.598434191919192,0.00106544776119403,0.00106544776119403,0.00106544776119403,0.00106544776119403,0.00106544776119403,0.00106544776119403,0.341361137085043,0.341361137085043,0.174577873134328,0.208043238095238,0.208043238095238,0.5282105,0.5282105,0.5282105,0.5282105,0.5282105,0.5282105,0.5282105,0.5282105,0.5282105,0.5282105,0.5282105,0.5282105,0.5282105,0.274799402173913,0.041309,0.00135369402985075,0.254849850035537,0.254849850035537,0.254849850035537,0.254849850035537,0.0610190298507463,0.0610190298507463,0.0144166791044776,0.179766140350877,0.179766140350877,0.179766140350877,0.620028737373737,0.620028737373737,0.620028737373737,0.620028737373737,0.153479850746269,0.153479850746269,0.153479850746269,0.153479850746269,0.153479850746269,0.21940691108102,0.560287732919255,0.00417595029406185,0.00417595029406185,0.00417595029406185,0.289522095238095,0.289522095238095,0.289522095238095,0.143117669172932,0.0708467391304348,0.0708467391304348,0.34782962962963,0.490065380434783
"urdu1245",0.343383499046123,-0.90600049370919,0.402142406015038,-1.20775220451952,-1.36734002056173,0.503532521388751,0.371965864661654,0.05234,0,0.0243897014925373,-3.32104983596396,0.238755604157452,0.0482407462686567,-4.04880430763774,0.0428032835820896,0.21582829424307,0.0491555639097744,0.5235,0.512904,-2.12576972143567,0.352277647058824,0.106889701492537,0.231181694712711,0.196642835820896,0.373361428571429,-3.83349175734817,0.400826,0.48025,0.4522895,0.0491961194029851,0.208865153966927,0.229690542239513,0.0325471641791045,-4.34471166138858,0.303811100886545,0.0277140298507463,0.0327229850746269,0.249313953703704,0.0961971641791045,0.341547916666667,0.463512,0.498463647058824,0.167060447761194,0.111518287509819,-5.52688911044063,0.097665671641791,0.404458583333333,-5.97389434696003,0.0471317293233083,0.0278388721804511,0.192170187969925,0.413244235294118,0.344347529411765,0.0390113043803539,-6.05900932929585,0.219786015037594,0.163506417910448,0.205407558318874,0.338408345864662,-6.11390459140411,0.344412352941176,-6.44540066362669,-6.29056197835474,0.159815223880597,-6.52998471230394,0.4782495,0.346582117647059,0.386323769448497,0.203374328358209,0.402142406015038,-1.20775220451952,0.503532521388751,0.503532521388751,0.503532521388751,0.503532521388751,0.503532521388751,0.503532521388751,0.0243897014925373,0.0243897014925373,0.0243897014925373,0.0243897014925373,-3.32104983596396,-3.32104983596396,0.0428032835820896,0.0428032835820896,0.0428032835820896,0.0428032835820896,0.0428032835820896,0.0428032835820896,0.231181694712711,0.231181694712711,0.196642835820896,0.373361428571429,0.373361428571429,0.400826,0.400826,0.400826,0.400826,0.400826,0.400826,0.400826,0.400826,0.400826,0.400826,0.400826,0.400826,0.400826,0.48025,0.4522895,0.0491961194029851,0.303811100886545,0.303811100886545,0.303811100886545,0.303811100886545,0.0277140298507463,0.0277140298507463,0.0327229850746269,0.463512,0.463512,0.463512,-5.52688911044063,-5.52688911044063,-5.52688911044063,-5.52688911044063,0.097665671641791,0.097665671641791,0.097665671641791,0.097665671641791,0.097665671641791,0.192170187969925,0.413244235294118,0.0390113043803539,0.0390113043803539,0.0390113043803539,0.219786015037594,0.219786015037594,0.219786015037594,0.163506417910448,-6.11390459140411,-6.11390459140411,-6.29056197835474,0.4782495
"chuv1255",0.218404383931407,0.0895391515151515,0.225085373134328,0.0066537037037037,0.0196781481481481,0.230308125,0.0150777611940298,0.00964880597014925,0.0243897014925373,0,0.598116484848485,0.447071244702414,0.00850563829787234,0.471781666666667,0.00805085106382979,0.234709913266116,0.307333880597015,-2.85929012244879,0.3930709,0.309072962962963,0.504016567164179,0.331439477935382,0.363551083410518,0.156576888297872,0.436707910447761,0.434399372937294,0.335772314814815,0.520360108695652,-4.05975333009619,0.0103225,0.344125090830569,0.370675330263576,0.0101046542553191,0.184207744107744,0.356092687162591,0.0292200531914894,0.00946848404255319,0.385952701630735,0.521408770053476,0.319174074074074,0.590938805970149,0.595084029850746,0.541213856382979,0.310276231343284,0.614310727272727,0.0936132446808511,-2.52396255366533,0.544038055555556,0.300905074626866,0.364695699253731,0.32006644785477,0.55197697761194,0.506901231343284,0.316054167244877,0.0856890163934426,0.48257671641791,0.535789759358289,0.3665389643353,0.350043432835821,0.47026275,0.513026082089552,0.195658754098361,0.321507777777778,0.164378138297872,0.318798306878307,0.3997094,0.497543500552792,0.41761944387107,0.408250831099196,0.225085373134328,0.0066537037037037,0.230308125,0.230308125,0.230308125,0.230308125,0.230308125,0.230308125,0,0,0,0,0.598116484848485,0.598116484848485,0.00805085106382979,0.00805085106382979,0.00805085106382979,0.00805085106382979,0.00805085106382979,0.00805085106382979,0.363551083410518,0.363551083410518,0.156576888297872,0.436707910447761,0.436707910447761,0.335772314814815,0.335772314814815,0.335772314814815,0.335772314814815,0.335772314814815,0.335772314814815,0.335772314814815,0.335772314814815,0.335772314814815,0.335772314814815,0.335772314814815,0.335772314814815,0.335772314814815,0.520360108695652,-4.05975333009619,0.0103225,0.356092687162591,0.356092687162591,0.356092687162591,0.356092687162591,0.0292200531914894,0.0292200531914894,0.00946848404255319,0.590938805970149,0.590938805970149,0.590938805970149,0.614310727272727,0.614310727272727,0.614310727272727,0.614310727272727,0.0936132446808511,0.0936132446808511,0.0936132446808511,0.0936132446808511,0.0936132446808511,0.32006644785477,0.55197697761194,0.316054167244877,0.316054167244877,0.316054167244877,0.48257671641791,0.48257671641791,0.48257671641791,0.535789759358289,0.47026275,0.47026275,0.321507777777778,0.3997094
